NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Cauca,19473,Morales,25406.0,2012
Cauca,19513,Padilla,8010.0,2012
Cauca,19517,Paez,33904.0,2012
Cauca,19532,Patía,35216.0,2012
Cauca,19533,Piamonte,7241.0,2012
Cauca,19548,Piendamó,40558.0,2012
Cauca,19573,Puerto Tejada,45241.0,2012
Cauca,19585,Puracé,15213.0,2012
Cauca,19622,Rosas,13058.0,2012
Cauca,19693,San Sebastián,13559.0,2012
Cauca,19698,Santander de Quilichao,89267.0,2012
Cauca,19701,Santa Rosa,10182.0,2012
Cauca,19743,Silvia,31732.0,2012
Cauca,19760,Sotara,16548.0,2012
Cauca,19780,Suárez,18809.0,2012
Cauca,19785,Sucre,8888.0,2012
Cauca,19807,Timbío,32628.0,2012
Cauca,19809,Timbiquí,21285.0,2012
Cauca,19821,Toribio,28253.0,2012
Cauca,19824,Totoró,19247.0,2012
Cauca,19845,Villa Rica,15604.0,2012
Cesar,20000,Cesar,9944895.0,2012
Cesar,20001,Valledupar,423278.0,2012
Cesar,20011,Aguachica,89935.0,2012
Cesar,20013,Agustín Codazzi,51909.0,2012
Cesar,20032,Astrea,18982.0,2012
Cesar,20045,Becerril,13620.0,2012
Cesar,20060,Bosconia,35361.0,2012
Cesar,20175,Chimichagua,30830.0,2012
Cesar,20178,Chiriguaná,20439.0,2012
Cesar,20228,Curumaní,25348.0,2012
Cesar,20238,El Copey,26089.0,2012
Cesar,20250,El Paso,22273.0,2012
Cesar,20295,Gamarra,15991.0,2012
Cesar,20310,González,7621.0,2012
Cesar,20383,La Gloria,13448.0,2012
Cesar,20400,La Jagua de Ibirico,22206.0,2012
Cesar,20443,Manaure,13522.0,2012
Cesar,20517,Pailitas,16834.0,2012
Cesar,20550,Pelaya,17532.0,2012
Cesar,20570,Pueblo Bello,20677.0,2012
Cesar,20614,Río de Oro,14169.0,2012
Cesar,20621,La Paz,22612.0,2012
Cesar,20710,San Alberto,23224.0,2012
Cesar,20750,San Diego,13521.0,2012
Cesar,20770,San Martín,18213.0,2012
Cesar,20787,Tamalameque,13950.0,2012
Córdoba,23000,Córdoba,9944895.0,2012
Córdoba,23001,Montería,422198.0,2012
Córdoba,23068,Ayapel,48324.0,2012
Córdoba,23079,Buenavista,20809.0,2012
Córdoba,23090,Canalete,20131.0,2012
Córdoba,23162,Cereté,89245.0,2012
Córdoba,23168,Chimá,14601.0,2012
Córdoba,23182,Chinú,46739.0,2012
Córdoba,23189,Ciénaga de Oro,60674.0,2012
Córdoba,23300,Cotorra,15350.0,2012
Córdoba,23350,La Apartada,14403.0,2012
Córdoba,23417,Lorica,115808.0,2012
Córdoba,23419,Los Córdobas,21768.0,2012
Córdoba,23464,Momil,14540.0,2012
Córdoba,23466,Montelíbano,86524.0,2012
Córdoba,23500,Moñitos,26191.0,2012
Córdoba,23555,Planeta Rica,65502.0,2012
Córdoba,23570,Pueblo Nuevo,36287.0,2012
Córdoba,23574,Puerto Escondido,26652.0,2012
Córdoba,23580,Puerto Libertador,43287.0,2012
Córdoba,23586,Purísima,14947.0,2012
Córdoba,23660,Sahagún,89204.0,2012
